,gA,gB,gC,gC1,gC2,gD,gD1,gD2,gE,gE1,gE2,gF,gF1,gF2,groups
14,0.8025727015291823,0.5846934059196244,0.6419665679728594,0.013109293816322951,0.013105583938230851,0.6481103771008736,0.022658627711572423,0.02139450343098979,0.4446948591822575,0.016572780160601167,0.013803692705270782,0.4730979309780008,0.01843136239603643,0.020632038593957867,8.0
15,0.7967262817309362,0.5792984155886641,0.6609135652173844,0.013709054247645631,0.013107362641340395,0.6582074403058027,0.023585577319978283,0.02143477575462695,0.4490082557427769,0.016328363017537182,0.01361437823308926,0.4751279563131976,0.01845795041719129,0.020754063402096876,8.0
16,0.7894911159914816,0.5655499537336506,0.67006173287503,0.013751706368918239,0.01322519450541584,0.6774701033614079,0.023725867837654836,0.02145641993730937,0.4546907730805635,0.015910138595125176,0.013451793317959622,0.47900089033450427,0.018147537543957856,0.021360494931958816,8.0
17,0.7804330468392169,0.5542817149595911,0.6756200925486522,0.013762878347459649,0.013373785929925915,0.6989462126239401,0.025123278392915806,0.02301710625479415,0.45948170242585334,0.0157204261376662,0.013020481776250491,0.4770653061674335,0.01801041536233639,0.021089419775487193,8.0
18,0.7727441519016377,0.5503696446437514,0.6911854883677361,0.014568108879590067,0.013280311365057617,0.7149017769216218,0.02514346611131814,0.022403251987945377,0.48463481985231555,0.01607425376633763,0.014029792975317323,0.4985977886109482,0.01776687969712485,0.021153247152539342,8.0
19,0.7588676220471635,0.5542898615805639,0.7106510486707533,0.017030372383533606,0.013427311151362002,0.7251994902541453,0.025117273507597196,0.0224684175072242,0.495776177513204,0.015978900151516026,0.014167153308132707,0.509143229068123,0.017757334084012623,0.021069915234467523,8.0
20,0.7496774828676288,0.5556556859075255,0.7172005845055804,0.016794430049031667,0.013538809362259506,0.7366608083969717,0.024847377812172423,0.022274582185122842,0.5052384893610448,0.016245476160443764,0.014152570707712689,0.5202545121521589,0.01719414642963018,0.020798692090588915,8.0
21,0.7632349034215389,0.5526138547160755,0.7227529106402889,0.016540190078339418,0.014955894833213463,0.7457918672075432,0.02552680311944723,0.022762853163999543,0.5057927860524007,0.016079749232175797,0.015286239083681107,0.5138491034510665,0.01673003341771044,0.020635010814441756,8.0
22,0.7471550801469493,0.5451744454139846,0.7409212908534519,0.016346692128176153,0.015253780704909983,0.7571948680026188,0.02759791007253879,0.022247717261447916,0.5231293800315652,0.016392619994446293,0.015371213346957435,0.5332577599986236,0.01579056910601184,0.020641267334657907,8.0
23,0.7457325740114442,0.5259787862136979,0.7483908510611232,0.01566600591970989,0.01588878326062292,0.7694483744182267,0.028137081006493023,0.022166247173119706,0.5214035750266623,0.016303294035062806,0.01516234032824288,0.5311682736422942,0.015585029471939533,0.02075155213243041,8.0
